date,deaths,group
19-Aug,1,d1
20-Aug,1,d2
21-Aug,1,d3
22-Aug,0,
23-Aug,1,d4
24-Aug,1,d5
25-Aug,0,
26-Aug,1,d6
27-Aug,1,d7
28-Aug,1,d8
29-Aug,1,d9
30-Aug,8,d10
31-Aug,56,d11
1-Sep,143,d12
2-Sep,116,d13
3-Sep,54,d14
4-Sep,46,d15
5-Sep,36,d16
6-Sep,20,d17
7-Sep,28,d18
8-Sep,12,d19
9-Sep,11,d20
10-Sep,5,d21
11-Sep,5,d22
12-Sep,1,d23
13-Sep,3,d24
14-Sep,0,
15-Sep,1,d25
16-Sep,4,d26
17-Sep,2,d27
18-Sep,3,d28
19-Sep,0,
20-Sep,0,
21-Sep,2,d29
22-Sep,1,d30
23-Sep,1,d31
24-Sep,1,d32
25-Sep,1,d33
26-Sep,1,d34
27-Sep,1,d35
28-Sep,0,
29-Sep,0,
